City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dikson,73.5069,80.5464,-37.04,93,16,1.71,RU,1673722065
1,hobart,-42.8794,147.3294,19.59,81,7,2.57,AU,1673722043
2,atuona,-9.8,-139.0333,25.33,77,32,4.67,PF,1673722065
3,punta arenas,-53.15,-70.9167,11.06,58,75,9.77,CL,1673722066
4,new norfolk,-42.7826,147.0587,19.4,63,72,0.89,AU,1673722066
5,kapaa,22.0752,-159.319,19.5,76,0,4.63,US,1673722067
6,hermanus,-34.4187,19.2345,21.0,74,58,6.15,ZA,1673722067
7,najran,17.4924,44.1277,20.36,39,9,1.71,SA,1673722067
8,port alfred,-33.5906,26.891,21.77,86,100,2.89,ZA,1673722068
9,longyearbyen,78.2186,15.6401,-2.09,86,100,12.35,SJ,1673721897
10,mataura,-46.1927,168.8643,12.43,86,9,0.65,NZ,1673722069
11,broken hill,-31.95,141.4333,19.91,57,25,8.45,AU,1673722069
12,kodiak,57.79,-152.4072,3.73,93,100,2.57,US,1673722069
13,yellowknife,62.456,-114.3525,-19.69,84,100,4.02,CA,1673721913
14,bambous virieux,-20.3428,57.7575,26.14,78,40,4.63,MU,1673722070
15,kahului,20.8947,-156.47,24.36,72,0,1.79,US,1673722070
16,bethel,41.3712,-73.414,1.4,68,100,6.17,US,1673722070
17,muhos,64.808,25.9931,-0.06,99,100,0.69,FI,1673722071
18,dingle,10.9995,122.6711,23.1,96,100,1.36,PH,1673722071
19,butaritari,3.0707,172.7902,26.48,81,87,6.04,KI,1673722072
20,castro,-24.7911,-50.0119,22.54,86,89,2.29,BR,1673722072
21,bredasdorp,-34.5322,20.0403,20.07,68,92,4.39,ZA,1673722066
22,ushuaia,-54.8,-68.3,10.81,54,75,3.6,AR,1673722072
23,uthal,25.8072,66.6219,13.06,17,0,1.46,PK,1673722073
24,gwanda,-20.9333,29.0,24.42,51,33,3.95,ZW,1673722073
25,dumas,35.8656,-101.9732,16.41,18,0,8.75,US,1673722074
26,lasa,46.6166,10.7002,2.49,74,100,1.1,IT,1673722074
27,beisfjord,68.3751,17.5988,-1.72,77,87,3.75,NO,1673722075
28,lindi,-10.0,39.7167,24.25,94,100,1.32,TZ,1673722075
29,novoplatnirovskaya,46.1065,39.4191,-0.19,90,10,4.52,RU,1673722075
30,namatanai,-3.6667,152.4333,25.91,84,72,2.0,PG,1673722076
31,cidreira,-30.1811,-50.2056,24.39,74,100,6.89,BR,1673722076
32,port-gentil,-0.7193,8.7815,24.98,94,20,3.09,GA,1673722077
33,cabo san lucas,22.8909,-109.9124,27.01,67,0,0.89,MX,1673722026
34,esperance,-33.8667,121.9,13.18,76,5,4.75,AU,1673722077
35,hasaki,35.7333,140.8333,11.23,79,100,10.64,JP,1673722077
36,teya,60.3778,92.6267,-18.2,99,100,1.09,RU,1673722078
37,norman wells,65.282,-126.8329,-23.98,77,100,0.0,CA,1673722078
38,avarua,-21.2078,-159.775,25.03,69,75,0.51,CK,1673722078
39,tuktoyaktuk,69.4541,-133.0374,-24.0,84,20,3.09,CA,1673722079
40,kozhva,65.1073,57.0459,-3.39,94,100,4.88,RU,1673721853
41,naze,28.3667,129.4833,18.51,92,91,7.27,JP,1673722079
42,balykshi,47.0667,51.8667,-7.0,49,0,10.0,KZ,1673722080
43,bathsheba,13.2167,-59.5167,28.34,74,40,7.2,BB,1673722080
44,honningsvag,70.9821,25.9704,-1.14,86,100,6.17,NO,1673722080
45,pocone,-16.2567,-56.6228,24.7,88,100,1.64,BR,1673722081
46,rawson,-43.3002,-65.1023,18.53,62,100,12.43,AR,1673722081
47,ponta do sol,32.6667,-17.1,18.17,74,64,0.68,PT,1673722081
48,pingzhuang,42.0372,119.2889,-15.27,34,0,1.7,CN,1673722082
49,sabha,27.0377,14.4283,12.17,51,0,2.89,LY,1673722082
50,itacoatiara,-3.1431,-58.4442,23.84,93,100,0.45,BR,1673722083
51,shakiso,5.75,38.9167,14.2,50,0,1.97,ET,1673722083
52,anadyr,64.75,177.4833,-14.72,78,100,11.0,RU,1673722084
53,nishihara,26.1842,127.7558,21.6,94,75,1.54,JP,1673722084
54,rikitea,-23.1203,-134.9692,25.55,74,52,6.49,PF,1673722085
55,nizhneangarsk,55.7833,109.55,-24.55,88,95,2.26,RU,1673722085
